airport_code,viz_count,avg_visibility,median_visibility,max_visibility,min_visibility,std_visibility,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),WAAS CHANNEL #
KCLT,14,4.339285714285714,3.5,10.0,0.25,3.193453554444718,CHARLOTTE/DOUGLAS INTL,CHARLOTTE,NC,RNAV (GPS) Y RWY 23,LPV,947,4000,200,Y,1.0,Y,45906
KCPR,14,4.285714285714286,3.5,10.0,0.5,3.240158387120354,CASPER/NATRONA COUNTY INTL,CASPER,WY,RNAV (GPS) RWY 21,LPV,5580, 0.75,250,N,1.0,Y,63012
KAGC,14,4.285714285714286,3.5,10.0,0.25,3.241641830653374,ALLEGHENY COUNTY,PITTSBURGH,PA,RNAV (GPS) RWY 28,LPV,1563,2400,312,Y,1.0,Y,65625
KGCK,14,4.125,3.5,10.0,0.25,3.389392389386447,GARDEN CITY RGNL,GARDEN CITY,KS,RNAV (GPS) RWY 17,LPV,3139,1.25,250,N,1.0,Y,42803
KGTF,14,3.9464285714285716,2.75,10.0,0.25,3.487861604397252,GREAT FALLS INTL,GREAT FALLS,MT,RNAV (GPS) RWY 17,LPV,3910,0.875,250,N,1.0,Y,49240
KRAP,14,4.428571428571429,3.5,10.0,1.0,3.0828754238731215,RAPID CITY RGNL,RAPID CITY,SD,RNAV (GPS) RWY 23,LPV,3454,1,250,N,1.0,Y,40433
KBOI,14,4.232142857142857,3.5,10.0,0.25,3.3013171696983394,BOISE AIR TERMINAL/GOWEN FLD,BOISE,ID,RNAV (GPS) Y RWY 10R,LPV,3036,1800,200,Y,1.0,Y,40203
KRDD,14,4.357142857142857,3.5,10.0,0.5,3.169436806489391,REDDING MUNI,REDDING,CA,RNAV (GPS) RWY 34,LPV,790, 0.5,291,Y,1.0,Y,56402
KSFF,14,4.214285714285714,3.5,10.0,0.25,3.3222112985311325,FELTS FIELD,SPOKANE,WA,RNAV (GPS) RWY 04L,LPV,2199,1,250,N,1.0,Y,65931
KICT,14,4.214285714285714,3.5,10.0,0.25,3.3048000388379473,WICHITA DWIGHT D EISENHOWER NATIONAL,WICHITA,KS,RNAV (GPS) Y RWY 19L,LPV,1520, 0.5,200,Y,1.0,Y,49119
KSTP,14,4.214285714285714,3.5,10.0,0.25,3.304800038837947,ST PAUL DOWNTOWN HOLMAN FLD,ST PAUL,MN,RNAV (GPS) RWY 32,LPV,1031,6000,327,Y,1.0,Y,50123
KCOS,14,3.2589285714285716,2.25,10.0,0.125,3.010584008365914,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,CO,RNAV (GPS) RWY 31,LP,6440,1,284,N,1.0,Y,40040
KVTN,14,4.392857142857143,3.5,10.0,0.5,3.12821263435117,MILLER FIELD ,VALENTINE,NE,RNAV (GPS) RWY 32,LPV,2840,1,252,N,1.0,N,40010
KFCM,14,4.339285714285714,3.5,10.0,0.75,3.175336358405356,FLYING CLOUD,MINNEAPOLIS,MN,RNAV (GPS) RWY 36,LP,1260,1,355,N,1.0,Y,82635
KGPI,14,4.375,3.5,10.0,0.75,3.143598501472721,GLACIER PARK INTL,KALISPELL,MT,RNAV (GPS) Z RWY 02,LPV,3290,0.625,324,Y,1.0,Y,70799
KHIO,14,4.428571428571429,3.5,10.0,1.0,3.0828754238731215,PORTLAND-HILLSBORO,PORTLAND,OR,RNAV (GPS) RWY 31L,LPV,583,1.25,379,N,1.0,Y,69417
KGLD,13,4.365384615384615,3.0,10.0,0.5,3.311305420788543,RENNER FLD /GOODLAND MUNI/,GOODLAND,KS,RNAV (GPS) RWY 30,LPV,3854, 0.5,200,Y,1.0,Y,48920
KLGA,13,4.269230769230769,3.0,10.0,0.25,3.4178781466929196,LAGUARDIA,NEW YORK,NY,RNAV (GPS) RWY 31,LPV,330,5000,323,N,1.0,Y,48928
KLBL,13,4.153846153846154,3.0,10.0,0.75,3.1926648703487457,LIBERAL MID-AMERICA RGNL,LIBERAL,KS,RNAV (GPS) RWY 35,LPV,3075, 0.5,200,Y,1.0,Y,63005
KGYH,13,3.4615384615384617,2.5,10.0,0.5,2.837336915001595,DONALDSON FIELD,GREENVILLE,SC,RNAV (GPS) RWY 05,LPV,1208, 0.5,253,Y,1.0,Y,72603
KPWA,13,4.5,4.0,10.0,0.5,3.248397040592996,WILEY POST,OKLAHOMA CITY,OK,RNAV (GPS) RWY 35L,LP,1660,1,385,N,1.0,Y,78437
KBUF,13,4.5576923076923075,4.0,10.0,0.25,3.2083125207450145,BUFFALO NIAGARA INTL,BUFFALO,NY,RNAV (GPS) RWY 14,LP,1080,1,370,N,1.0,Y,58129
KPIR,13,4.403846153846154,4.0,10.0,0.25,3.3735158180093023,PIERRE RGNL,PIERRE,SD,RNAV (GPS) RWY 07,LPV,2057,1,313,N,1.0,Y,45804
KRST,13,4.384615384615385,4.0,10.0,0.25,3.3782629051644655,ROCHESTER INTL,ROCHESTER,MN,RNAV (GPS) RWY 31,LPV,1504,1800,200,Y,1.0,Y,49028
KLBB,12,4.729166666666667,4.5,10.0,0.5,3.298516080502463,LUBBOCK PRESTON SMITH INTL,LUBBOCK,TX,RNAV (GPS) Y RWY 17R,LPV,3482,2400,200,Y,1.0,Y,40028
KFAT,12,4.916666666666667,4.5,10.0,1.0,3.0661890273620034,FRESNO YOSEMITE INTL,FRESNO,CA,RNAV (GPS) RWY 29L,LPV,581, 0.75,250,N,1.0,Y,50530
KSTS,12,4.520833333333333,3.5,10.0,0.25,3.3430020757977217,CHARLES M SCHULZ - SONOMA COUNTY,SANTA ROSA,CA,RNAV (GPS) RWY 02,LP,500,1,371,N,1.0,Y,69230
KTXK,12,3.9791666666666665,2.75,10.0,0.25,3.579389125975481,TEXARKANA RGNL-WEBB FIELD,TEXARKANA,AR,RNAV (GPS) RWY 31,LPV,645,1,255,N,1.0,Y,49199
KHOU,12,4.833333333333333,4.5,10.0,0.5,3.179003083682148,WILLIAM P HOBBY,HOUSTON,TX,RNAV (GPS) RWY 22,LPV,360,1,319,N,1.0,Y,65610
KAAO,12,4.8125,4.5,10.0,0.5,3.2071032667558996,COLONEL JAMES JABARA,WICHITA,KS,RNAV (GPS) RWY 18,LPV,1680, 0.5,266,Y,1.0,Y,81808
KSOW,12,4.395833333333333,3.5,10.0,0.5,3.3548782889001107,SHOW LOW RGNL,SHOW LOW,AZ,RNAV (GPS) RWY 25,LPV,6605, 0.75,200,N,1.0,N,72718
KDLH,12,4.604166666666667,4.0,10.0,0.25,3.346399580372187,DULUTH INTL,DULUTH,MN,RNAV (GPS) RWY 21,LPV,1708,1,288,N,1.0,Y,40114
KMCK,11,5.25,5.0,10.0,1.5,2.9727932992389503,MC COOK BEN NELSON RGNL,McCOOK,NE,RNAV (GPS) RWY 12,LPV,2840, 0.5,257,Y,1.0,Y,50118
KROW,11,4.863636363636363,5.0,10.0,0.25,3.4737653136827555,ROSWELL INTL AIR CENTER,ROSWELL,NM,RNAV (GPS) RWY 03,LPV,3917, 0.75,250,N,1.0,Y,50202
KRKS,11,4.795454545454546,4.0,10.0,0.5,3.355626211711798,ROCK SPRINGS-SWEETWATER COUNTY,ROCK SPRINGS,WY,RNAV (GPS) RWY 27,LPV,6965, 0.5,200,Y,1.0,Y,49216
KANE,11,4.545454545454546,4.0,10.0,1.0,2.919371040605711,ANOKA COUNTY-BLAINE ARPT (JANES FIELD),MINNEAPOLIS,MN,RNAV (GPS) RWY 27,LPV,1160, 0.5,250,Y,1.0,Y,78300
KBGR,11,5.045454545454546,5.0,10.0,0.5,3.2438753479021467,BANGOR INTL,BANGOR,ME,RNAV (GPS) RWY 33,LPV,363,2400,200,Y,1.0,Y,78007
KAMA,11,5.0227272727272725,5.0,10.0,0.25,3.2795856168396975,RICK HUSBAND AMARILLO INTL,AMARILLO,TX,RNAV (GPS) Y RWY 13,LPV,3803, 0.75,200,N,1.0,Y,57919
KBED,11,3.7954545454545454,2.5,10.0,0.25,3.366782926285458,LAURENCE G HANSCOM FLD,BEDFORD,MA,RNAV (GPS) Z RWY 29,LPV,328, 0.5,200,Y,1.0,Y,86612
KHHW,11,3.4318181818181817,2.5,10.0,0.5,2.9178136272963635,STAN STAMPER MUNI,HUGO,OK,RNAV (GPS) RWY 17,LPV,820,1,250,N,1.0,N,50437
KOKC,11,5.0,5.0,10.0,0.5,3.278719262151,WILL ROGERS WORLD,OKLAHOMA CITY,OK,RNAV (GPS) RWY 13,LP,1640,1,361,N,1.0,Y,45625
KBNA,10,5.475,5.5,10.0,1.0,3.0606144989382624,NASHVILLE INTL,NASHVILLE,TN,RNAV (GPS) Y RWY 02L,LPV,799,1800,200,Y,1.0,Y,42713
KGNV,10,5.025,5.0,10.0,0.25,3.481000015959654,GAINESVILLE RGNL,GAINESVILLE,FL,RNAV (GPS) RWY 11,LPV,460,1,313,N,1.0,Y,50115
KMKC,10,5.425,5.5,10.0,0.25,3.15799250579647,CHARLES B WHEELER DOWNTOWN,KANSAS CITY,MO,RNAV (GPS) RWY 21,LP,1160,1,416,N,1.0,Y,40327
KSFO,10,5.525,5.5,10.0,1.25,2.9871251508208805,SAN FRANCISCO INTL,SAN FRANCISCO,CA,RNAV (GPS) Z RWY 28R,LPV,213,1800,200,Y,1.0,Y,48803
KROC,10,5.3,5.0,10.0,1.5,3.101970699768491,GREATER ROCHESTER INTL,ROCHESTER,NY,RNAV (GPS) RWY 07,LP,940,1,395,N,1.0,Y,61334
KSPW,10,4.85,4.5,10.0,0.75,3.3358323965358,SPENCER MUNI,SPENCER,IA,RNAV (GPS) RWY 12,LPV,1539, 0.5,200,Y,1.0,Y,56517
KLUK,10,5.525,5.5,10.0,1.75,2.9637860546567425,CINCINNATI MUNI AIRPORT LUNKEN FIELD,CINCINNATI,OH,RNAV (GPS) RWY 21L,LPV,750,4000,275,Y,1.0,Y,42511
KCMH,10,5.65,5.5,10.0,2.0,2.8092110398947723,JOHN GLENN COLUMBUS INTL,COLUMBUS,OH,RNAV (GPS) Y RWY 10L,LPV,1015,2400,200,Y,1.0,Y,40299
KLZU,10,4.025,3.5,10.0,0.25,3.0286823317519893,GWINNETT COUNTY - BRISCOE FIELD,LAWRENCEVILLE,GA,RNAV (GPS) RWY 07,LP,1520,1,459,N,1.0,Y,97621
KBFF,10,5.375,5.5,10.0,0.5,3.1912423564777677,WESTERN NEBRASKA RGNL/WILLIAM B HEILIG FIELD,SCOTTSBLUFF,NE,RNAV (GPS) RWY 23,LPV,4256,1,289,N,1.0,Y,45606
KJAC,10,4.825,4.5,10.0,1.0,3.1579925057964697,JACKSON HOLE,JACKSON,WY,RNAV (GPS) X RWY 01,LPV,7393,2,962,N,1.0,Y,58299
KBDN,10,5.625,5.5,10.0,1.75,2.8461718929896778,BEND MUNI,BEND,OR,RNAV (GPS) Y RWY 16,LP,3760,1,328,N,1.0,N,90137
KARR,10,5.375,5.5,10.0,0.25,3.2042723216217297,AURORA MUNI,CHICAGO/AURORA,IL,RNAV (GPS) RWY 09,LPV,957, 0.5,250,Y,1.0,Y,45522
KIAD,10,4.7,4.5,10.0,0.5,3.065941943351178,WASHINGTON DULLES INTL,WASHINGTON,DC,RNAV (GPS) Y RWY 19C,LPV,472,1800,200,Y,1.0,Y,40305
KPDX,10,5.3,5.5,10.0,0.5,3.2249030993194197,PORTLAND INTL,PORTLAND,OR,RNAV (GPS) Y RWY 10R,LPV,224,1800,200,Y,1.0,Y,40004
KDAL,10,5.65,5.5,10.0,2.0,2.8092110398947723,DALLAS LOVE FIELD,DALLAS,TX,RNAV (GPS) Y RWY 31L,LPV,770,2200,293,Y,1.0,Y,72808
KLBF,10,4.525,3.5,10.0,0.25,3.379780564869067,NORTH PLATTE RGNL AIRPORT LEE BIRD FIELD,NORTH PLATTE,NE,RNAV (GPS) RWY 35,LP,3140,1,367,N,1.0,Y,56634
KIEN,10,5.25,5.5,10.0,1.0,3.2596012026013246,PINE RIDGE,PINE RIDGE,SD,RNAV (GPS) RWY 12,LPV,3589,1,270,N,1.0,N,97542
KEUG,9,4.833333333333333,5.0,10.0,0.5,3.2596012026013246,MAHLON SWEET FIELD,EUGENE,OR,RNAV (GPS) Y RWY 34L,LPV,568,4000,200,N,1.0,Y,45600
KSJT,9,5.166666666666667,6.0,10.0,0.25,3.633610463437158,SAN ANGELO RGNL/MATHIS FIELD,SAN ANGELO,TX,RNAV (GPS) RWY 03,LPV,2167, 0.5,250,Y,1.0,Y,77517
KBLI,9,5.888888888888889,6.0,10.0,1.0,2.934469476943168,BELLINGHAM INTL,BELLINGHAM,WA,RNAV (GPS) Y RWY 16,LPV,363,2400,200,Y,1.0,Y,45999
KHIB,9,5.5,5.0,10.0,1.0,3.142451272494134,RANGE RGNL,HIBBING,MN,RNAV (GPS) RWY 31,LPV,1545, 0.5,200,Y,1.0,Y,65722
KRBL,9,4.888888888888889,5.0,10.0,0.25,3.2018332422396876,RED BLUFF MUNI,RED BLUFF,CA,RNAV (GPS) RWY 33,LPV,602,1,250,N,1.0,N,42609
KROG,9,5.583333333333333,6.0,10.0,1.75,3.137475099502783,ROGERS EXECUTIVE - CARTER FIELD,ROGERS,AR,RNAV (GPS) RWY 20,LPV,1604, 0.5,250,Y,1.0,Y,40003
KMDW,9,5.333333333333333,5.0,10.0,0.5,3.3634060117684275,CHICAGO MIDWAY INTL,CHICAGO,IL,RNAV (GPS) Z RWY 22L,LP,940,1,329,N,1.0,Y,87132
KHVR,9,5.75,6.0,10.0,1.75,3.0310889132455348,HAVRE CITY-COUNTY,HAVRE,MT,RNAV (GPS) RWY 26,LPV,2836,1,250,N,1.0,N,48816
KMEM,9,5.305555555555555,5.0,10.0,0.25,3.3906530016764878,MEMPHIS INTL,MEMPHIS,TN,RNAV (GPS) RWY 36C,LPV,665,2400,324,Y,1.0,Y,40407
KABR,9,5.611111111111111,6.0,10.0,1.0,3.1402406135694623,ABERDEEN RGNL,ABERDEEN,SD,RNAV (GPS) RWY 13,LPV,1502, 0.75,200,N,1.0,Y,40341
KFNL,9,4.305555555555555,4.0,10.0,0.75,3.4883237776585156,NORTHERN COLORADO RGNL,FORT COLLINS/LOVELAND,CO,RNAV (GPS) RWY 33,LPV,5216, 0.5,200,Y,1.0,Y,97511
KTYS,9,4.798611111111111,5.0,10.0,0.0625,3.601727257318509,MC GHEE TYSON,KNOXVILLE,TN,RNAV (GPS) RWY 05L,LPV,1153,2400,200,Y,1.0,Y,48802
KMYL,8,4.0,2.375,10.0,0.5,3.833592123769634,MC CALL MUNI,MC CALL,ID,RNAV (GPS) RWY 34,LPV,5318,0.875,306,N,1.0,N,49016
KVPC,8,5.5625,5.5,10.0,0.5,3.1332035180808613,CARTERSVILLE,CARTERSVILLE,GA,RNAV (GPS) RWY 19,LPV,1008,1,259,N,1.0,N,58005
KAZO,8,5.6875,5.5,10.0,1.5,2.9147102281849073,KALAMAZOO/BATTLE CREEK INTL,KALAMAZOO,MI,RNAV (GPS) RWY 05,LP,1280,1,406,N,1.0,Y,56321
K74V,8,3.84375,3.0,10.0,0.25,3.3619124553061845,ROOSEVELT MUNI,ROOSEVELT,UT,RNAV (GPS) RWY 25,LPV,5390,1,250,N,1.0,N,86539
K4O4,8,5.03125,4.5,10.0,1.75,2.848676070939421,MC CURTAIN COUNTY RGNL,IDABEL,OK,RNAV (GPS) RWY 02,LP,800,1,328,N,1.0,N,63042
KDSM,8,6.0,6.5,10.0,1.0,3.2071349029490923,DES MOINES INTL,DES MOINES,IA,RNAV (GPS) RWY 05,LPV,1131,2400,200,Y,1.0,Y,69202
KYIP,8,4.28125,3.5,10.0,0.75,3.00427522754776,WILLOW RUN,DETROIT,MI,RNAV (GPS) RWY 05L,LP,1080,1,364,N,1.0,Y,78435
KBKL,8,5.78125,6.5,10.0,0.25,3.559287398583358,BURKE LAKEFRONT,CLEVELAND,OH,RNAV (GPS) RWY 24R,LPV,1249,10.875,666,Y,1.0,Y,77621
KACK,8,5.71875,6.5,10.0,0.75,3.421146163411989,NANTUCKET MEMORIAL,NANTUCKET,MA,RNAV (GPS) RWY 33,LPV,290,1,250,N,1.0,Y,77835
KSAT,8,5.171875,5.5,10.0,0.125,3.8002217393011613,SAN ANTONIO INTL,SAN ANTONIO,TX,RNAV (GPS) Y RWY 31L,LPV,1207,5000,417,Y,1.0,Y,61209
KSGF,8,5.1875,5.5,10.0,1.25,3.4349828446234114,SPRINGFIELD-BRANSON NATIONAL,SPRINGFIELD,MO,RNAV (GPS) RWY 14,LPV,1518, 0.75,258,Y,1.0,Y,40121
KOZW,8,4.34375,3.5,10.0,1.5,2.918345605206582,LIVINGSTON COUNTY SPENCER J HARDY,HOWELL,MI,RNAV (GPS) RWY 13,LPV,1162, 0.5,200,Y,1.0,Y,69601
KOMA,8,5.53125,5.5,10.0,0.25,3.191611493990368,EPPLEY AIRFIELD,OMAHA,NE,RNAV (GPS) Y RWY 14R,LPV,1185,1800,200,Y,1.0,Y,56217
KRDU,8,3.96875,3.0,10.0,0.25,3.689844896082064,RALEIGH-DURHAM INTL,RALEIGH/DURHAM,NC,RNAV (GPS) Y RWY 23R,LPV,609,1800,200,Y,1.0,Y,45613
KTUL,8,5.75,6.5,10.0,0.25,3.608026765817729,TULSA INTL,TULSA,OK,RNAV (GPS) RWY 08,LPV,921, 0.75,250,N,1.0,Y,63131
KATL,8,4.75,4.5,10.0,1.0,2.9154759474226504,HARTSFIELD - JACKSON ATLANTA INTL,ATLANTA,GA,RNAV (GPS) Y RWY 10,LPV,1200,1800,200,Y,1.0,Y,40399
KTRI,8,6.0,6.0,10.0,2.0,2.9277002188455996,TRI-CITIES RGNL TN/VA,BRISTOL/JOHNSON/KINGSPORT,TN,RNAV (GPS) RWY 27,LPV,1788,0.875,270,N,1.0,Y,63140
KATY,8,4.1875,3.5,10.0,0.25,3.666328447604536,WATERTOWN RGNL,WATERTOWN,SD,RNAV (GPS) RWY 30,LPV,1990,1,254,N,1.0,Y,50305
KMOT,8,5.9375,6.5,10.0,2.0,3.098818899424194,MINOT INTL,MINOT,ND,RNAV (GPS) RWY 26,LPV,1932,1,250,N,1.0,Y,56516
KPQI,8,5.03125,4.0,10.0,0.75,3.5315857931368044,NORTHERN MAINE RGNL ARPT AT PRESQUE IS,PRESQUE ISLE,ME,RNAV (GPS) RWY 01,LPV,678, 0.5,200,Y,1.0,Y,87012
KOLF,7,5.857142857142857,6.0,10.0,1.0,2.9113897843110044,L M CLAYTON,WOLF POINT,MT,RNAV (GPS) RWY 29,LPV,2185, 0.75,200,N,1.0,N,49229
KFHR,7,6.571428571428571,7.0,10.0,3.0,2.63673679998231,FRIDAY HARBOR,FRIDAY HARBOR,WA,RNAV (GPS) RWY 34,LPV,443,1.125,359,N,1.0,N,40024
KMQY,7,6.357142857142857,7.0,10.0,1.5,3.0099042857745175,SMYRNA,SMYRNA,TN,RNAV (GPS) RWY 19,LP,880,1,359,N,1.0,Y,42932
KEAU,7,5.75,6.0,10.0,1.25,3.191786333700926,CHIPPEWA VALLEY RGNL,EAU CLAIRE,WI,RNAV (GPS) RWY 04,LPV,1089, 0.75,200,N,1.0,Y,69217
KCPS,7,6.321428571428571,7.0,10.0,0.25,3.325138736811988,ST LOUIS DOWNTOWN,CAHOKIA/ST LOUIS,IL,RNAV (GPS) RWY 30L,LPV,609, 0.5,200,Y,1.0,Y,70521
KGCC,7,4.714285714285714,4.0,10.0,0.25,3.618323079101962,GILLETTE-CAMPBELL COUNTY,GILLETTE,WY,RNAV (GPS) RWY 34,LPV,4619, 0.75,255,Y,1.0,Y,86204
KEAR,7,6.214285714285714,7.0,10.0,0.5,3.2895939827627014,KEARNEY RGNL,KEARNEY,NE,RNAV (GPS) RWY 13,LPV,2330, 0.75,200,N,1.0,Y,65631
KGJT,7,5.142857142857143,5.0,10.0,1.5,3.3004328720422635,GRAND JUNCTION REGIONAL,GRAND JUNCTION,CO,RNAV (GPS) Y RWY 11,LPV,5033,2400,200,Y,1.0,Y,97514
KDTW,7,5.607142857142857,7.0,10.0,0.5,3.8887046441615762,DETROIT METROPOLITAN WAYNE COUNTY,DETROIT,MI,RNAV (GPS) Y RWY 22R,LPV,892,2400,250,Y,1.0,Y,42939
KFMN,7,5.785714285714286,6.0,10.0,1.0,3.533849917313303,FOUR CORNERS RGNL,FARMINGTON,NM,RNAV (GPS) RWY 23,LPV,5798,1,294,N,1.0,Y,70714
KFOE,7,7.0,7.0,10.0,4.0,2.160246899469287,TOPEKA RGNL,TOPEKA,KS,RNAV (GPS) RWY 21,LPV,1307,1,264,N,1.0,Y,42834
KMSO,7,6.642857142857143,7.0,10.0,2.5,2.688157450037195,MISSOULA INTL,MISSOULA,MT,RNAV (GPS) Y RWY 12,LPV,4229,4,1029,Y,1.0,Y,65715
KDRO,7,5.357142857142857,4.0,10.0,2.0,3.275086331104949,DURANGO-LA PLATA COUNTY,Durango,CO,RNAV (GPS) RWY 21 ORIG,LPV,6939,0.75,250,N,1.0,Y,42543
KFTW,7,6.464285714285714,7.0,10.0,0.25,3.2288690339026203,FORT WORTH MEACHAM INTL,FORT WORTH,TX,RNAV (GPS) RWY 16,LPV,910,2400,200,Y,1.0,Y,42612
KMHE,7,6.285714285714286,6.0,10.0,3.0,2.563479777846623,MITCHELL MUNI,MITCHELL,SD,RNAV (GPS) RWY 36,LPV,1554,1,250,N,1.0,Y,63038
KCNM,7,5.428571428571429,6.0,10.0,0.25,3.4360657180920766,CAVERN CITY AIR TRML,CARLSBAD,NM,RNAV (GPS) RWY 32L,LP,3720,1,452,N,1.0,Y,78226
KSAV,7,3.892857142857143,2.5,10.0,0.25,3.353658272621677,SAVANNAH/HILTON HEAD INTL,SAVANNAH,GA,RNAV (GPS) Z RWY 28,LPV,307,1,257,N,1.0,Y,40015
KMTJ,7,5.535714285714286,7.0,10.0,0.25,3.8902350277879836,MONTROSE RGNL,MONTROSE,CO,RNAV (GPS) Z RWY 17,LPV,5932, 0.5,224,Y,1.0,Y,40411
KBIS,7,5.357142857142857,5.0,10.0,2.0,2.8970428272390354,BISMARCK MUNI,BISMARCK,ND,RNAV (GPS) RWY 21,LPV,1861, 0.75,200,N,1.0,Y,53520
KINL,7,5.357142857142857,5.0,10.0,1.0,3.2750863311049487,FALLS INTL-EINARSON FIELD,INTERNATIONAL FALLS,MN,RNAV (GPS) RWY 13,LPV,1434, 0.5,250,Y,1.0,Y,53206
KTPA,7,5.964285714285714,6.0,10.0,0.75,3.330504752250311,TAMPA INTL,TAMPA,FL,RNAV (GPS) RWY 19R,LPV,221,2400,200,Y,1.0,Y,40406
KLFT,7,6.5,7.0,10.0,2.5,2.8722813232690143,LAFAYETTE RGNL/PAUL FOURNET FIELD,LAFAYETTE,LA,RNAV (GPS) RWY 29,LPV,294,1,252,N,1.0,Y,45703
KHLN,7,4.75,4.0,10.0,0.5,3.4247870980057527,HELENA RGNL,HELENA,MT,RNAV (GPS) X RWY 27,LPV,4965,2,1113,Y,1.0,Y,69405
KITR,7,4.785714285714286,4.0,10.0,1.0,3.364733060946822,KIT CARSON COUNTY,BURLINGTON,CO,RNAV (GPS) RWY 15,LPV,4468,1,250,N,1.0,N,72999
KHOB,7,5.928571428571429,6.0,10.0,2.5,2.683725200608466,LEA COUNTY RGNL,HOBBS,NM,RNAV (GPS) RWY 30,LPV,3899, 0.75,250,N,1.0,Y,69635
KYKN,7,6.214285714285714,7.0,10.0,2.5,3.0256837086453547,CHAN GURNEY MUNI,YANKTON,SD,RNAV (GPS) RWY 13,LPV,1556,1,250,N,1.0,Y,50400
KTEB,7,4.75,5.0,10.0,0.75,3.2371540999258386,TETERBORO,TETERBORO,NJ,RNAV (GPS) X RWY 06,LPV,459,5500,453,Y,1.0,Y,65634
KABQ,7,6.142857142857143,7.0,10.0,2.0,3.132015933791495,ALBUQUERQUE INTL SUNPORT,ALBUQUERQUE,NM,RNAV (GPS) Y RWY 03,LPV,5512,2400,200,Y,1.0,Y,78137
KLIT,7,5.357142857142857,6.0,10.0,1.5,3.2495420922837432,BILL AND HILLARY CLINTON NATIONAL/ADAMS FIELD,LITTLE ROCK,AR,RNAV (GPS) RWY 18,LP,720,1,461,N,1.0,Y,45624
KRVS,6,6.5,6.5,10.0,3.0,2.4289915602982237,RICHARD LLOYD JONES JR,TULSA,OK,RNAV (GPS) RWY 19R,LP,1040,1,402,N,1.0,Y,81939
KGGW,6,6.916666666666667,7.5,10.0,2.5,2.76435646519523,WOKAL FIELD/GLASGOW INTL,GLASGOW,MT,RNAV (GPS) RWY 12,LPV,2541,0.875,250,N,1.0,N,93620
KAAT,6,7.5,7.5,10.0,5.0,1.8708286933869707,ALTURAS MUNI,ALTURAS,CA,RNAV (GPS) RWY 31,LPV,4830,1.375,452,N,1.0,N,70620
KIWD,6,6.291666666666667,6.5,10.0,0.75,3.287919808430045,GOGEBIC-IRON COUNTY,IRONWOOD,MI,RNAV (GPS) RWY 27,LPV,1430,1,200,Y,1.0,Y,50212
KUZA,6,5.083333333333333,4.5,10.0,2.5,2.7279418371121236,ROCK HILL/YORK CO/BRYANT FIELD,ROCK HILL,SC,RNAV (GPS) RWY 02,LPV,866, 0.5,200,Y,1.0,Y,70425
